unidade;ano;mes;setor_centro_custo;internacoes
CHPB;2019,0;1,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,0
CHPB;2019,0;1,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2,0
CHPB;2019,0;2,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;30,0
CHPB;2019,0;2,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;3,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1,0
CHPB;2019,0;3,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;13,0
CHPB;2019,0;3,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;1,0
CHPB;2019,0;4,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,0
CHPB;2019,0;5,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,0
CHPB;2019,0;5,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1,0
CHPB;2019,0;5,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;1,0
CHPB;2019,0;5,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;2,0
CHPB;2019,0;6,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31,0
CHPB;2019,0;6,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1,0
CHPB;2019,0;6,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;1,0
CHPB;2019,0;7,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26,0
CHPB;2019,0;7,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1,0
CHPB;2019,0;7,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1,0
CHPB;2019,0;8,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25,0
CHPB;2019,0;9,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;28,0
CHPB;2019,0;9,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2,0
CHPB;2019,0;9,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;1,0
CHPB;2019,0;10,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,0
CHPB;2019,0;10,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2,0
CHPB;2019,0;10,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1,0
CHPB;2019,0;10,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;2,0
CHPB;2019,0;10,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1,0
CHPB;2019,0;11,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,0
CHPB;2019,0;11,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;4,0
CHPB;2019,0;12,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,0
CHPB;2019,0;12,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;3,0
CHPB;2019,0;12,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;2,0
CHPB;2020,0;1,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;42,0
CHPB;2020,0;1,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;5,0
CHPB;2020,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1,0
CHPB;2020,0;2,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;33,0
